subject,block,number,response,error,rt,condition,correct,congruency,size,task,congsize,decade,unit,sizeunit,decadeDistance,unitDistance,distance
1,1,79,l       ,C       ,1562,decade,1,congruent,large decade digits,parity,both digits have the same size,7,9,large unit digits,2,4,24
1,1,87,a       ,C       ,680,decade,1,incongruent,large decade digits,parity,both digits have the same size,8,7,large unit digits,3,2,32
1,1,88,a       ,C       ,421,decade,1,congruent,large decade digits,parity,both digits have the same size,8,8,large unit digits,3,3,33
1,1,46,a       ,C       ,771,decade,1,congruent,small decade digits,parity,digits have different size,4,6,large unit digits,1,1,9
1,1,33,l       ,C       ,620,decade,1,congruent,small decade digits,parity,both digits have the same size,3,3,small unit digits,2,2,22
1,1,73,l       ,C       ,420,decade,1,congruent,large decade digits,parity,digits have different size,7,3,small unit digits,2,2,18
1,1,69,a       ,C       ,591,decade,1,incongruent,large decade digits,parity,both digits have the same size,6,9,large unit digits,1,4,14
1,1,12,a       ,E       ,892,decade,0,incongruent,small decade digits,parity,both digits have the same size,1,2,small unit digits,4,3,43
1,1,92,l       ,C       ,1292,decade,1,incongruent,large decade digits,parity,digits have different size,9,2,small unit digits,4,3,37
1,1,16,l       ,C       ,431,decade,1,incongruent,small decade digits,parity,digits have different size,1,6,large unit digits,4,1,39
1,1,11,l       ,C       ,391,decade,1,congruent,small decade digits,parity,both digits have the same size,1,1,small unit digits,4,4,44
1,1,39,l       ,C       ,451,decade,1,congruent,small decade digits,parity,digits have different size,3,9,large unit digits,2,4,16
1,2,94,l       ,C       ,882,decade,1,incongruent,large decade digits,parity,digits have different size,9,4,small unit digits,4,1,39
1,2,83,a       ,C       ,651,decade,1,incongruent,large decade digits,parity,digits have different size,8,3,small unit digits,3,2,28
1,2,19,l       ,C       ,771,decade,1,congruent,small decade digits,parity,digits have different size,1,9,large unit digits,4,4,36
1,2,27,a       ,C       ,981,decade,1,incongruent,small decade digits,parity,digits have different size,2,7,large unit digits,3,2,28
1,2,72,l       ,C       ,641,decade,1,incongruent,large decade digits,parity,digits have different size,7,2,small unit digits,2,3,17
1,2,13,l       ,C       ,551,decade,1,congruent,small decade digits,parity,both digits have the same size,1,3,small unit digits,4,2,42
1,2,34,l       ,C       ,751,decade,1,incongruent,small decade digits,parity,both digits have the same size,3,4,small unit digits,2,1,21
1,2,41,a       ,C       ,831,decade,1,incongruent,small decade digits,parity,both digits have the same size,4,1,small unit digits,1,4,14
1,2,89,a       ,C       ,601,decade,1,incongruent,large decade digits,parity,both digits have the same size,8,9,large unit digits,3,4,34
1,2,18,l       ,C       ,451,decade,1,incongruent,small decade digits,parity,digits have different size,1,8,large unit digits,4,3,37
1,2,24,a       ,C       ,631,decade,1,congruent,small decade digits,parity,both digits have the same size,2,4,small unit digits,3,1,31
1,2,66,a       ,C       ,631,decade,1,congruent,large decade digits,parity,both digits have the same size,6,6,large unit digits,1,1,11
1,2,42,a       ,C       ,420,decade,1,congruent,small decade digits,parity,both digits have the same size,4,2,small unit digits,1,3,13
1,2,71,l       ,C       ,711,decade,1,congruent,large decade digits,parity,digits have different size,7,1,small unit digits,2,4,16
1,2,46,a       ,C       ,601,decade,1,congruent,small decade digits,parity,digits have different size,4,6,large unit digits,1,1,9
1,2,81,a       ,C       ,580,decade,1,incongruent,large decade digits,parity,digits have different size,8,1,small unit digits,3,4,26
1,2,64,a       ,C       ,481,decade,1,congruent,large decade digits,parity,digits have different size,6,4,small unit digits,1,1,9
1,2,48,a       ,C       ,441,decade,1,congruent,small decade digits,parity,digits have different size,4,8,large unit digits,1,3,7
1,2,87,a       ,C       ,511,decade,1,incongruent,large decade digits,parity,both digits have the same size,8,7,large unit digits,3,2,32
1,2,67,a       ,C       ,1112,decade,1,incongruent,large decade digits,parity,both digits have the same size,6,7,large unit digits,1,2,12
1,2,74,l       ,C       ,792,decade,1,incongruent,large decade digits,parity,digits have different size,7,4,small unit digits,2,1,19
1,2,22,a       ,C       ,671,decade,1,congruent,small decade digits,parity,both digits have the same size,2,2,small unit digits,3,3,33
1,2,39,l       ,C       ,581,decade,1,congruent,small decade digits,parity,digits have different size,3,9,large unit digits,2,4,16
1,2,96,l       ,C       ,1622,decade,1,incongruent,large decade digits,parity,both digits have the same size,9,6,large unit digits,4,1,41
1,2,86,a       ,C       ,621,decade,1,congruent,large decade digits,parity,both digits have the same size,8,6,large unit digits,3,1,31
1,2,88,a       ,C       ,541,decade,1,congruent,large decade digits,parity,both digits have the same size,8,8,large unit digits,3,3,33
1,2,17,l       ,C       ,551,decade,1,congruent,small decade digits,parity,digits have different size,1,7,large unit digits,4,2,38
1,2,97,l       ,C       ,811,decade,1,congruent,large decade digits,parity,both digits have the same size,9,7,large unit digits,4,2,42
1,2,16,l       ,C       ,471,decade,1,incongruent,small decade digits,parity,digits have different size,1,6,large unit digits,4,1,39
1,2,63,a       ,C       ,601,decade,1,incongruent,large decade digits,parity,digits have different size,6,3,small unit digits,1,2,8
1,2,91,l       ,C       ,2003,decade,1,congruent,large decade digits,parity,digits have different size,9,1,small unit digits,4,4,36
1,2,23,a       ,C       ,651,decade,1,incongruent,small decade digits,parity,both digits have the same size,2,3,small unit digits,3,2,32
1,2,98,l       ,C       ,631,decade,1,incongruent,large decade digits,parity,both digits have the same size,9,8,large unit digits,4,3,43
1,2,28,a       ,C       ,581,decade,1,congruent,small decade digits,parity,digits have different size,2,8,large unit digits,3,3,27
1,2,61,a       ,C       ,520,decade,1,incongruent,large decade digits,parity,digits have different size,6,1,small unit digits,1,4,6
1,2,33,l       ,C       ,511,decade,1,congruent,small decade digits,parity,both digits have the same size,3,3,small unit digits,2,2,22
1,2,47,a       ,C       ,681,decade,1,incongruent,small decade digits,parity,digits have different size,4,7,large unit digits,1,2,8
1,2,31,l       ,C       ,1002,decade,1,congruent,small decade digits,parity,both digits have the same size,3,1,small unit digits,2,4,24
1,2,12,l       ,C       ,741,decade,1,incongruent,small decade digits,parity,both digits have the same size,1,2,small unit digits,4,3,43
1,2,93,l       ,C       ,631,decade,1,congruent,large decade digits,parity,digits have different size,9,3,small unit digits,4,2,38
1,2,14,l       ,C       ,451,decade,1,incongruent,small decade digits,parity,both digits have the same size,1,4,small unit digits,4,1,41
1,2,82,a       ,C       ,611,decade,1,congruent,large decade digits,parity,digits have different size,8,2,small unit digits,3,3,27
1,2,43,a       ,C       ,480,decade,1,incongruent,small decade digits,parity,both digits have the same size,4,3,small unit digits,1,2,12
1,2,36,l       ,C       ,631,decade,1,incongruent,small decade digits,parity,digits have different size,3,6,large unit digits,2,1,19
1,2,62,a       ,C       ,671,decade,1,congruent,large decade digits,parity,digits have different size,6,2,small unit digits,1,3,7
1,2,68,a       ,C       ,571,decade,1,congruent,large decade digits,parity,both digits have the same size,6,8,large unit digits,1,3,13
